name,rating,lat,long,price
Aviva by Kameel,5.0,33.7605381455292,-84.3865554648041,$$
Local Expedition Wood Fired Grill,5.0,34.089366,-84.2749784,$$
Tacos Del Chavo,5.0,34.005762,-84.603604,$
Marrakech Express,5.0,33.74075,-84.3467299,$
Valor Coffee,5.0,34.0753984,-84.2959764,$
Himalayan Kitchen,5.0,33.891135,-84.504663,$
Gyros To-Go,5.0,33.67518,-84.02458,$
Alebrije Mexican Cuisine,5.0,34.0011992543378,-84.0819977673897,$$
RW's Subs,5.0,33.963676,-84.127119,$
Local Expedition Wood Fired Grill,5.0,33.919661,-84.350803,$$
Wow Poke & Juice,5.0,33.998567,-84.068797,$$
Mushi Ni,5.0,33.7408966692525,-84.3465438601188,$$
Poke Burri,4.5,33.740908,-84.346454,$$
Porch Light Latin Kitchen,4.5,33.885339,-84.515763,$$
KITCHEN 121,4.5,34.00158,-84.08227,$$
Baozi Asian Street Food,4.5,33.961193,-83.973016,$
Georgia French Bakery & Cafe,4.5,33.9606857299805,-84.1321487426758,$
Siamese Basil Thai Restaurant,4.5,33.8990715609461,-84.2067783214264,$$
Sugar Hill Subs,5.0,34.09654,-84.01524,$
Golden Drops Café,4.5,33.8061978685091,-84.3107869103551,$
VeGreen Vegetarian Fusion Restaurant,4.5,33.961168,-84.14405,$$
Buon Fornello,5.0,33.91993,-84.35281,$
She Craft Co,5.0,33.47801,-84.59524,$
Desta Ethiopian Kitchen,4.5,33.8378954488708,-84.3103913493464,$$
Atlanta Breakfast Club,4.5,33.7649,-84.39546,$$
Hoboken Cafe on Whitlock,4.5,33.95255,-84.57267,$
Eight Sushi Lounge,4.5,33.78025,-84.41095,$$
BoJaynes,5.0,33.445430789957,-84.1348483300247,$
The Po'Boy Shop,4.5,33.792737,-84.3050283,$$
Cupanion’s Kitchen & Coffee,4.5,33.88918,-84.382094,$$
Deshi Street Bangladeshi Restaurant,4.5,33.86823,-84.29985,$$
Hi Pot Doraville,4.5,33.8908506450845,-84.2853294293409,$$
Gracious Plenty Bakery & Breakfast,4.5,34.0302686,-84.3615449,$$
The Beirut,4.5,33.438834705155,-84.588817871624,$$
Cylantros Woodstock,4.5,34.086292,-84.518799,$
Wicked sushi & grill,4.5,34.068121,-83.981056,$$
Rice n' Pie,4.5,33.9831999,-84.17089,$$
The Food Shoppe,4.5,33.758312,-84.390376,$$
Purnima Bangladeshi Cuisine,4.5,33.877123,-84.293591,$$
Hen Mother Cookhouse,4.5,34.06528,-84.21079,$$
Green Love Kitchen,4.5,33.7120978,-84.1060287,$$
Louisiana Bistreaux - East Point,4.5,33.6592449,-84.4342218,$$
Poor Calvin's,4.5,33.7684,-84.38226,$$
Roc South Cuisine,4.5,33.83534,-84.33755,$$
El Trompo Mexican Taqueria,4.5,34.0704462896031,-84.207593412828,$
Embilta Café & Restaurant Ethiopian Cuisine,4.5,33.8127799,-84.35473,$$
The Sahara Grill,4.5,34.08712,-84.47279,$$
Taj Mahal Grill,4.5,34.0008872704639,-84.5883881952453,$$
JINYA Ramen Bar,4.5,33.8566085797099,-84.3827165980401,$$
NFA Burger,4.5,33.9475624005883,-84.334966,$
Kpop Bbq and Bar,4.5,34.107667,-84.552378,$$
Heirloom Market BBQ,4.5,33.8986473470416,-84.4471785276031,$$
Bleu House,4.5,33.9411734961952,-84.2125377030411,$$
Jerusalem Chef Restaurant,4.5,34.0403326,-84.3425153,$$
The Marietta Local,4.5,33.9520084,-84.5488322,$$
Italia Mediterranean Grill,4.5,34.0178225891952,-84.6195390075445,$$
Tacos La Villa,4.5,33.8929143,-84.4779433,$
Pita King,4.5,34.02839,-84.65044,$
Taqueria San Pancho,4.5,33.867515,-84.191697,$
Foundation Social Eatery,4.5,34.0188297326194,-84.3117081666565,$$
The Rotisserie Shop,4.5,34.0136946869881,-84.5675291148193,$$
Chippers Pub,4.5,34.0167198820803,-84.362401664257,$$
Mezza Luna,4.5,33.882797,-84.504883,$$
gusto!,4.5,33.8075938694564,-84.3935011499407,$
